,movieId,title,genres,userId,tag
9,4,Waiting to Exhale (1995),Comedy|Drama|Romance,,
12,6,Heat (1995),Action|Crime|Thriller,,
14,8,Tom and Huck (1995),Adventure|Children,,
15,9,Sudden Death (1995),Action,,
16,10,GoldenEye (1995),Action|Adventure|Thriller,,
19,12,Dracula: Dead and Loving It (1995),Comedy|Horror,,
20,13,Balto (1995),Adventure|Animation|Children,,
23,15,Cutthroat Island (1995),Action|Adventure|Romance,,
26,18,Four Rooms (1995),Comedy,,
27,19,Ace Ventura: When Nature Calls (1995),Comedy,,
28,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,
31,23,Assassins (1995),Action|Crime|Thriller,,
32,24,Powder (1995),Drama|Sci-Fi,,
35,27,Now and Then (1995),Children|Drama,,
39,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,
68,42,Dead Presidents (1995),Action|Crime|Drama,,
70,44,Mortal Kombat (1995),Action|Adventure|Fantasy,,
76,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,,
77,49,When Night Is Falling (1995),Drama|Romance,,
86,53,Lamerica (1994),Adventure|Drama,,
87,54,"Big Green, The (1995)",Children|Comedy,,
88,55,Georgia (1995),Drama,,
89,57,Home for the Holidays (1995),Drama,,
91,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,,
92,61,Eye for an Eye (1996),Drama|Thriller,,
94,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,,
95,64,Two if by Sea (1996),Comedy|Romance,,
96,65,Bio-Dome (1996),Comedy,,
97,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,,
98,68,French Twist (Gazon maudit) (1995),Comedy|Romance,,
99,69,Friday (1995),Comedy,,
100,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,,
101,71,Fair Game (1995),Action,,
102,72,Kicking and Screaming (1995),Comedy|Drama,,
103,73,"Misérables, Les (1995)",Drama|War,,
104,74,Bed of Roses (1996),Drama|Romance,,
105,75,Big Bully (1996),Comedy|Drama,,
106,76,Screamers (1995),Action|Sci-Fi|Thriller,,
107,77,Nico Icon (1995),Documentary,,
108,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,,
109,79,"Juror, The (1996)",Drama|Thriller,,
110,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,,
111,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,,
112,82,Antonia's Line (Antonia) (1995),Comedy|Drama,,
113,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,,
114,85,Angels and Insects (1995),Drama|Romance,,
115,86,White Squall (1996),Action|Adventure|Drama,,
116,87,Dunston Checks In (1996),Children|Comedy,,
117,88,Black Sheep (1996),Comedy,,
118,89,Nick of Time (1995),Action|Thriller,,
120,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,,
121,94,Beautiful Girls (1996),Comedy|Drama|Romance,,
122,95,Broken Arrow (1996),Action|Adventure|Thriller,,
124,97,"Hate (Haine, La) (1995)",Crime|Drama,,
125,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,,
126,100,City Hall (1996),Drama|Thriller,,
130,102,Mr. Wrong (1996),Comedy,,
131,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,,
135,105,"Bridges of Madison County, The (1995)",Drama|Romance,,
136,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,,
138,108,Catwalk (1996),Documentary,,
150,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,,
151,113,Before and After (1996),Drama|Mystery,,
153,117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,,
154,118,If Lucy Fell (1996),Comedy|Romance,,
155,119,"Steal Big, Steal Little (1995)",Comedy,,
156,121,"Boys of St. Vincent, The (1992)",Drama,,
158,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,,
159,125,Flirting With Disaster (1996),Comedy,,
160,126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,,
161,128,Jupiter's Wife (1994),Documentary,,
162,129,Pie in the Sky (1996),Comedy|Romance,,
163,132,Jade (1995),Thriller,,
164,135,Down Periscope (1996),Comedy,,
165,137,Man of the Year (1995),Documentary,,
167,141,"Birdcage, The (1996)",Comedy,,
168,144,"Brothers McMullen, The (1995)",Comedy,,
169,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,,
170,146,"Amazing Panda Adventure, The (1995)",Adventure|Children,,
175,148,"Awfully Big Adventure, An (1995)",Drama,,
176,149,Amateur (1994),Crime|Drama|Thriller,,
180,151,Rob Roy (1995),Action|Drama|Romance|War,,
181,152,"Addiction, The (1995)",Drama|Horror,,
184,154,Beauty of the Day (Belle de jour) (1967),Drama,,
185,155,Beyond Rangoon (1995),Adventure|Drama|War,,
186,156,Blue in the Face (1995),Comedy|Drama,,
187,157,Canadian Bacon (1995),Comedy|War,,
188,158,Casper (1995),Adventure|Children,,
189,159,Clockers (1995),Crime|Drama|Mystery,,
193,163,Desperado (1995),Action|Romance|Western,,
194,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,,
195,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,,
196,166,"Doom Generation, The (1995)",Comedy|Crime|Drama,,
197,168,First Knight (1995),Action|Drama|Romance,,
198,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,,
199,170,Hackers (1995),Action|Adventure|Crime|Thriller,,
200,171,Jeffrey (1995),Comedy|Drama,,
201,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,,
202,173,Judge Dredd (1995),Action|Crime|Sci-Fi,,
203,174,Jury Duty (1995),Comedy,,
207,176,Living in Oblivion (1995),Comedy,,
208,177,Lord of Illusions (1995),Horror,,
209,178,Love & Human Remains (1993),Comedy|Drama,,
210,179,Mad Love (1995),Drama|Romance,,
211,180,Mallrats (1995),Comedy|Romance,,
212,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,,
213,183,Mute Witness (1994),Comedy|Horror|Thriller,,
214,184,Nadja (1994),Drama,,
216,186,Nine Months (1995),Comedy|Romance,,
217,187,Party Girl (1995),Comedy,,
218,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,,
219,189,Reckless (1995),Comedy|Fantasy,,
220,190,Safe (1995),Thriller,,
221,191,"Scarlet Letter, The (1995)",Drama|Romance,,
222,193,Showgirls (1995),Drama,,
223,194,Smoke (1995),Comedy|Drama,,
224,195,Something to Talk About (1995),Comedy|Drama|Romance,,
225,196,Species (1995),Horror|Sci-Fi,,
226,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,,
228,201,Three Wishes (1995),Drama|Fantasy,,
229,202,Total Eclipse (1995),Drama|Romance,,
230,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,,
231,204,Under Siege 2: Dark Territory (1995),Action,,
232,205,Unstrung Heroes (1995),Comedy|Drama,,
233,206,Unzipped (1995),Documentary,,
234,207,"Walk in the Clouds, A (1995)",Drama|Romance,,
235,208,Waterworld (1995),Action|Adventure|Sci-Fi,,
236,209,White Man's Burden (1995),Drama,,
237,210,Wild Bill (1995),Western,,
238,211,"Browning Version, The (1994)",Drama,,
239,212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,,
240,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,,
241,214,Before the Rain (Pred dozhdot) (1994),Drama|War,,
246,217,"Babysitter, The (1995)",Drama|Thriller,,
247,218,Boys on the Side (1995),Comedy|Drama,,
248,219,"Cure, The (1995)",Drama,,
249,220,Castle Freak (1995),Horror,,
259,225,Disclosure (1994),Drama|Thriller,,
260,227,Drop Zone (1994),Action|Thriller,,
261,228,Destiny Turns on the Radio (1995),Comedy,,
262,229,Death and the Maiden (1994),Drama|Thriller,,
264,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,,
266,233,Exotica (1994),Drama,,
267,234,Exit to Eden (1994),Comedy,,
269,236,French Kiss (1995),Action|Comedy|Romance,,
273,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,,
274,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,,
275,240,Hideaway (1995),Thriller,,
276,241,Fluke (1995),Children|Drama,,
277,242,Farinelli: il castrato (1994),Drama|Musical,,
278,243,Gordy (1995),Children|Comedy|Fantasy,,
284,250,Heavyweights (Heavy Weights) (1995),Children|Comedy,,
285,251,"Hunted, The (1995)",Action,,
287,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,,
288,254,Jefferson in Paris (1995),Drama,,
289,255,"Jerky Boys, The (1995)",Comedy,,
290,256,Junior (1994),Comedy|Sci-Fi,,
292,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,,
293,259,Kiss of Death (1995),Crime|Drama|Thriller,,
324,263,Ladybird Ladybird (1994),Drama,,
325,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,,
326,266,Legends of the Fall (1994),Drama|Romance|War|Western,,
327,267,Major Payne (1995),Comedy,,
328,269,My Crazy Life (Mi vida loca) (1993),Drama,,
329,270,Love Affair (1994),Drama|Romance,,
330,271,Losing Isaiah (1995),Drama,,
334,274,Man of the House (1995),Comedy,,
335,275,Mixed Nuts (1994),Comedy,,
336,276,Milk Money (1994),Comedy|Romance,,
338,278,Miami Rhapsody (1995),Comedy,,
341,281,Nobody's Fool (1994),Comedy|Drama|Romance,,
344,283,New Jersey Drive (1995),Crime|Drama,,
345,284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,,
346,285,Beyond Bedlam (1993),Drama|Horror,,
347,287,Nina Takes a Lover (1994),Comedy|Romance,,
354,289,Only You (1994),Comedy|Romance,,
356,291,Poison Ivy II (1996),Drama|Thriller,,
357,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,,
393,294,"Perez Family, The (1995)",Comedy|Romance,,
394,295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,,
576,298,Pushing Hands (Tui shou) (1992),Drama,,
577,299,Priest (1994),Drama,,
579,301,Picture Bride (Bijo photo) (1994),Drama|Romance,,
580,302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,,
581,303,"Quick and the Dead, The (1995)",Action|Thriller|Western,,
582,304,Roommates (1995),Comedy|Drama,,
583,305,Ready to Wear (Pret-A-Porter) (1994),Comedy,,
584,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,,
588,310,Rent-a-Kid (1995),Comedy,,
589,311,Relative Fear (1994),Horror|Thriller,,
590,312,Stuart Saves His Family (1995),Comedy,,
591,313,"Swan Princess, The (1994)",Animation|Children,,
592,314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,,
