title,genres,avg_rating
Pirates of the Caribbean: Dead Men Tell No Tales (2017),(no genres listed),3.79
"7th Voyage of Sinbad, The (1958)",Action,4.4
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),Action,4.36
All Quiet on the Western Front (1930),Action,4.35
Baby Driver (2017),Action,4.33
Gladiator (1992),Action,4.33
"Day of the Doctor, The (2013)",Adventure,4.57
"7th Voyage of Sinbad, The (1958)",Adventure,4.4
Dersu Uzala (1975),Adventure,4.3
Lawrence of Arabia (1962),Adventure,4.3
"Outlaw Josey Wales, The (1976)",Adventure,4.25
Paperman (2012),Animation,4.38
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Animation,4.3
FLCL (2000),Animation,4.28
Creature Comforts (1989),Animation,4.25
Mary and Max (2009),Animation,4.2
Batman: Mask of the Phantasm (1993),Children,4.12
Toy Story 3 (2010),Children,4.11
Day & Night (2010),Children,4.1
"Grand Day Out with Wallace and Gromit, A (1989)",Children,4.09
Fantastic Mr. Fox (2009),Children,4.08
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy,4.67
Man Bites Dog (C'est arrivé près de chez vous) (1992),Comedy,4.5
Kolya (Kolja) (1996),Comedy,4.43
His Girl Friday (1940),Comedy,4.39
Paperman (2012),Comedy,4.38
"Three Billboards Outside Ebbing, Missouri (2017)",Crime,4.75
Memories of Murder (Salinui chueok) (2003),Crime,4.7
Man Bites Dog (C'est arrivé près de chez vous) (1992),Crime,4.5
"Shawshank Redemption, The (1994)",Crime,4.43
"Man Who Shot Liberty Valance, The (1962)",Crime,4.4
Paris Is Burning (1990),Documentary,4.5
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Documentary,4.31
Voices from the List (2004),Documentary,4.3
Hoop Dreams (1994),Documentary,4.29
Inside Job (2010),Documentary,4.29
"Trial, The (Procès, Le) (1962)",Drama,4.9
"Three Billboards Outside Ebbing, Missouri (2017)",Drama,4.75
Memories of Murder (Salinui chueok) (2003),Drama,4.7
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Drama,4.67
Yi Yi (2000),Drama,4.6
"7th Voyage of Sinbad, The (1958)",Fantasy,4.4
"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",Fantasy,4.3
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Fantasy,4.3
FLCL (2000),Fantasy,4.28
Arizona Dream (1993),Fantasy,4.25
Laura (1944),Film-Noir,4.33
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,4.33
Double Indemnity (1944),Film-Noir,4.32
Touch of Evil (1958),Film-Noir,4.26
Notorious (1946),Film-Noir,4.25
Near Dark (1987),Horror,4.31
"Conjuring, The (2013)",Horror,4.21
Perfect Blue (1997),Horror,4.2
Rosemary's Baby (1968),Horror,4.17
"Silence of the Lambs, The (1991)",Horror,4.16
Everest (1998),IMAX,4.25
"Dark Knight, The (2008)",IMAX,4.24
Toy Story 3 (2010),IMAX,4.11
Inception (2010),IMAX,4.07
Captain Phillips (2013),IMAX,4.05
White Christmas (1954),Musical,4.19
Hedwig and the Angry Inch (2000),Musical,4.18
"King and I, The (1956)",Musical,4.17
"Night at the Opera, A (1935)",Musical,4.11
Meet Me in St. Louis (1944),Musical,4.1
Memories of Murder (Salinui chueok) (2003),Mystery,4.7
Incendies (2010),Mystery,4.4
Witness for the Prosecution (1957),Mystery,4.39
"Verdict, The (1982)",Mystery,4.36
Laura (1944),Mystery,4.33
Jules and Jim (Jules et Jim) (1961),Romance,4.5
Last Tango in Paris (Ultimo tango a Parigi) (1972),Romance,4.5
"Wings of the Dove, The (1997)",Romance,4.42
His Girl Friday (1940),Romance,4.39
Paperman (2012),Romance,4.38
"Day of the Doctor, The (2013)",Sci-Fi,4.57
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Sci-Fi,4.3
Logan (2017),Sci-Fi,4.28
FLCL (2000),Sci-Fi,4.28
Star Wars: Episode IV - A New Hope (1977),Sci-Fi,4.23
Memories of Murder (Salinui chueok) (2003),Thriller,4.7
Man Bites Dog (C'est arrivé près de chez vous) (1992),Thriller,4.5
Witness for the Prosecution (1957),Thriller,4.39
Baby Driver (2017),Thriller,4.33
Infernal Affairs (Mou gaan dou) (2002),Thriller,4.33
Paths of Glory (1957),War,4.54
Ran (1985),War,4.43
Incendies (2010),War,4.4
Lifeboat (1944),War,4.36
All Quiet on the Western Front (1930),War,4.35
"Man Who Shot Liberty Valance, The (1962)",Western,4.4
Near Dark (1987),Western,4.31
Once Upon a Time in the West (C'era una volta il West) (1968),Western,4.31
"Outlaw Josey Wales, The (1976)",Western,4.25
High Noon (1952),Western,4.21
